indexNoteChord,ChordNotes
"('E', '6add9')","E,G#,B,C#,F#"
"('E', '6sus4')","E,A,B,C#"
"('E', '7')","E,G#,B,D"
"('E', '7#11')","E,G#,B,D,A#"
"('E', '7#5')","E,G#,C,D"
"('E', '7#5#9')","E,G#,B,D,G"
"('E', '7#5b9')","E,G#,B,D,F"
"('E', '7#9')","E,G#,B,D,G"
"('E', '7add11')","E,G#,B,D,A"
"('E', '7add13')","E,G#,B,D,C#"
"('E', '7b5')","E,G#,A#,D"
"('E', '7b5b9')","E,G#,A#,D,F"
"('E', '7b9')","E,G#,B,D,F"
"('E', '7sus4')","E,A,B,D"
"('E', '9')","E,G#,B,D,F#"
"('E', '9#11')","E,G#,B,D,F#,A#"
"('E', '9#5')","E,G#,C,D,F#"
"('E', '9b13')","E,G#,B,D,F#,C#"
"('E', '9b5')","E,G#,A#,D,F#"
"('E', '9sus4')","E,A,B,D,F#"
"('E', 'add9')","E,G#,B,F#"
"('E', 'augsus4')","E,A,C"
"('E', 'm11')","E,G,B,D,F#,A"
"('E', 'm13')","E,G,B,D,F#,C#"
"('E', 'm6')","E,G,B,C#"
"('E', 'm6add9')","E,G,B,C#,F#"
"('E', 'm7')","E,G,B,D"
"('E', 'm7add11')","E,G,B,D,A"
"('E', 'm7add13')","E,G,B,D,C#"
"('E', 'm7b5')","E,G,A#,D"
"('E', 'm7b9')","E,G,B,D,F"
"('E', 'm9')","E,G,B,D,F#"
"('E', 'm9b5')","E,G,A#,D,F#"
"('E', 'm9-Maj7')","E,G,B,D#,F#"
"('E', 'madd9')","E,G,B,F#"
"('E', 'Maj11')","E,G#,B,D#,F#,A"
"('E', 'Maj13')","E,G#,B,D#,F#,C#"
"('E', 'Maj7')","E,G#,B,D#"
"('E', 'Maj7#11')","E,G#,B,D#,A#"
"('E', 'Maj7#5')","E,G#,C,D#"
"('E', 'Maj7add13')","E,G#,B,D#,C#"
"('E', 'Maj7b5')","E,G#,A#,D"
"('E', 'Maj9')","E,G#,B,D#,F#"
"('E', 'Maj9#11')","E,G#,B,D#,F#,A#"
"('E', 'Maj9#5')","E,G#,C,D#,F#"
"('E', 'Maj9sus4')","E,A,B,D#,F#"
"('E', 'Majb5')","E,G#,A#"
"('E', 'mb5')","E,G,A#"
"('E', 'm-Maj11')","E,G,B,D#,F#,A"
"('E', 'm-Maj13')","E,G,B,D#,F#,C#"
"('E', 'm-Maj7')","E,G,B,D#"
"('E', 'm-Maj7add11')","E,G,B,D#,A"
"('E', 'm-Maj7add13')","E,G,B,D#,C#"
"('E', 'tri')","E,G,A#,C#"
"('E', 'Majb7')","E,G#,B,C#"
"('E', 'Min#5')","E,G,C"
"('E', 'Dom7')","E,G#,B,D"
"('E', 'Dom7b5')","E,G#,A#,D"
"('E', 'Dom7#5')","E,G#,C,D"
"('E', 'Dim7')","E,G,A#,C#"
"('E', 'm#5')","E,G,C"
"('E', 'm#7#5')","E,G,C,D#"
"('E', 'm7#5')","E,G,C,D#"
"('E', 'Aug-06')","E,G#,C,C#"
"('F', 'Major')","F,A,C"
"('F', 'Minor')","F,G#,C"
"('F', 'Aug')","F,A,C#"
"('F', 'Dim')","F,G#,B"
"('F', 'Fifth')","F,C"
"('F', 'Fifth_9th')","F,C,G"
"('F', 'Fifth_Octave')","F,C,F"
"('F', 'Octave')","F,F"
"('F', 'Sus2')","F,G,C"
"('F', 'Sus4')","F,A#,C"
"('F', '11')","F,A,C,D#,G,A#"
"('F', '11b9')","F,A,C,D#,F#,A#"
"('F', '13')","F,A,C,D#,G,D"
"('F', '13#9')","F,A,C,D#,G#,D"
"('F', '13b5b9')","F,A,B,D#,F#,D"
"('F', '13b9')","F,A,C,D#,F#"
"('F', '6')","F,A,C,D"
"('F', '6add9')","F,A,C,D,G"
"('F', '6sus4')","F,A#,C,D"
"('F', '7')","F,A,C,D#"
"('F', '7#11')","F,A,C,D#,B"
"('F', '7#5')","F,A,C#,D#"
"('F', '7#5#9')","F,A,C,D#,G#"
"('F', '7#5b9')","F,A,C,D#,F#"
"('F', '7#9')","F,A,C,D#,G#"
"('F', '7add11')","F,A,C,D#,A#"
"('F', '7add13')","F,A,C,D#,D"
"('F', '7b5')","F,A,B,D#"
"('F', '7b5b9')","F,A,B,D#,F#"
"('F', '7b9')","F,A,C,D#,F#"
"('F', '7sus4')","F,A#,C,D#"
"('F', '9')","F,A,C,D#,G"
"('F', '9#11')","F,A,C,D#,G,B"
"('F', '9#5')","F,A,C#,D#,G"
"('F', '9b13')","F,A,C,D#,G,D"
"('F', '9b5')","F,A,B,D#,G"
"('F', '9sus4')","F,A#,C,D#,G"
"('F', 'add9')","F,A,C,G"
"('F', 'augsus4')","F,A#,C#"
"('F', 'm11')","F,G#,C,D#,G,A#"
"('F', 'm13')","F,G#,C,D#,G,D"
"('F', 'm6')","F,G#,C,D"
"('F', 'm6add9')","F,G#,C,D,G"
"('F', 'm7')","F,G#,C,D#"
"('F', 'm7add11')","F,G#,C,D#,A#"
"('F', 'm7add13')","F,G#,C,D#,D"
"('F', 'm7b5')","F,G#,B,D#"
"('F', 'm7b9')","F,G#,C,D#,F#"
"('F', 'm9')","F,G#,C,D#,G"
"('F', 'm9b5')","F,G#,B,D#,G"
"('F', 'm9-Maj7')","F,G#,C,E,G"
"('F', 'madd9')","F,G#,C,G"
"('F', 'Maj11')","F,A,C,E,G,A#"
"('F', 'Maj13')","F,A,C,E,G,D"
"('F', 'Maj7')","F,A,C,E"
"('F', 'Maj7#11')","F,A,C,E,B"
"('F', 'Maj7#5')","F,A,C#,E"
"('F', 'Maj7add13')","F,A,C,E,D"
"('F', 'Maj7b5')","F,A,B,D#"
"('F', 'Maj9')","F,A,C,E,G"
"('F', 'Maj9#11')","F,A,C,E,G,B"
"('F', 'Maj9#5')","F,A,C#,E,G"
"('F', 'Maj9sus4')","F,A#,C,E,G"
"('F', 'Majb5')","F,A,B"
"('F', 'mb5')","F,G#,B"
"('F', 'm-Maj11')","F,G#,C,E,G,A#"
"('F', 'm-Maj13')","F,G#,C,E,G,D"
"('F', 'm-Maj7')","F,G#,C,E"
"('F', 'm-Maj7add11')","F,G#,C,E,A#"
"('F', 'm-Maj7add13')","F,G#,C,E,D"
"('F', 'tri')","F,G#,B,D"
"('F', 'Majb7')","F,A,C,D"
"('F', 'Min#5')","F,G#,C#"
"('F', 'Dom7')","F,A,C,D#"
"('F', 'Dom7b5')","F,A,B,D#"
"('F', 'Dom7#5')","F,A,C#,D#"
"('F', 'Dim7')","F,G#,B,D"
"('F', 'm#5')","F,G#,C#"
"('F', 'm#7#5')","F,G#,C#,E"
"('F', 'm7#5')","F,G#,C#,E"
"('F', 'Aug-06')","F,A,C#,D"
"('F#', 'Major')","F#,A#,C#"
"('F#', 'Minor')","F#,A,C#"
"('F#', 'Aug')","F#,A#,D"
"('F#', 'Dim')","F#,A,C"
"('F#', 'Fifth')","F#,C#"
"('F#', 'Fifth_9th')","F#,C#,G#"
"('F#', 'Fifth_Octave')","F#,C#,F#"
"('F#', 'Octave')","F#,F#"
"('F#', 'Sus2')","F#,G#,C#"
"('F#', 'Sus4')","F#,B,C#"
"('F#', '11')","F#,A#,C#,E,G#,B"
"('F#', '11b9')","F#,A#,C#,E,G,B"
"('F#', '13')","F#,A#,C#,E,G#,D#"
"('F#', '13#9')","F#,A#,C#,E,A,D#"
"('F#', '13b5b9')","F#,A#,C,E,G,D#"
"('F#', '13b9')","F#,A#,C#,E,G"
"('F#', '6')","F#,A#,C#,D#"
"('F#', '6add9')","F#,A#,C#,D#,G#"
"('F#', '6sus4')","F#,B,C#,D#"
"('F#', '7')","F#,A#,C#,E"
"('F#', '7#11')","F#,A#,C#,E,C"
"('F#', '7#5')","F#,A#,D,E"
"('F#', '7#5#9')","F#,A#,C#,E,A"
"('F#', '7#5b9')","F#,A#,C#,E,G"
"('F#', '7#9')","F#,A#,C#,E,A"
"('F#', '7add11')","F#,A#,C#,E,B"
"('F#', '7add13')","F#,A#,C#,E,D#"
"('F#', '7b5')","F#,A#,C,E"
"('F#', '7b5b9')","F#,A#,C,E,G"
"('F#', '7b9')","F#,A#,C#,E,G"
"('F#', '7sus4')","F#,B,C#,E"
"('F#', '9')","F#,A#,C#,E,G#"
"('F#', '9#11')","F#,A#,C#,E,G#,C"
"('F#', '9#5')","F#,A#,D,E,G#"
"('F#', '9b13')","F#,A#,C#,E,G#,D#"
"('F#', '9b5')","F#,A#,C,E,G#"
"('F#', '9sus4')","F#,B,C#,E,G#"
"('F#', 'add9')","F#,A#,C#,G#"
"('F#', 'augsus4')","F#,B,D"
"('F#', 'm11')","F#,A,C#,E,G#,B"
"('F#', 'm13')","F#,A,C#,E,G#,D#"
"('F#', 'm6')","F#,A,C#,D#"
"('F#', 'm6add9')","F#,A,C#,D#,G#"
"('F#', 'm7')","F#,A,C#,E"
"('F#', 'm7add11')","F#,A,C#,E,B"
"('F#', 'm7add13')","F#,A,C#,E,D#"
"('F#', 'm7b5')","F#,A,C,E"
"('F#', 'm7b9')","F#,A,C#,E,G"
"('F#', 'm9')","F#,A,C#,E,G#"
"('F#', 'm9b5')","F#,A,C,E,G#"
"('F#', 'm9-Maj7')","F#,A,C#,F,G#"
"('F#', 'madd9')","F#,A,C#,G#"
"('F#', 'Maj11')","F#,A#,C#,F,G#,B"
"('F#', 'Maj13')","F#,A#,C#,F,G#,D#"
"('F#', 'Maj7')","F#,A#,C#,F"
"('F#', 'Maj7#11')","F#,A#,C#,F,C"
"('F#', 'Maj7#5')","F#,A#,D,F"
"('F#', 'Maj7add13')","F#,A#,C#,F,D#"
"('F#', 'Maj7b5')","F#,A#,C,E"
"('F#', 'Maj9')","F#,A#,C#,F,G#"
"('F#', 'Maj9#11')","F#,A#,C#,F,G#,C"
"('F#', 'Maj9#5')","F#,A#,D,F,G#"
"('F#', 'Maj9sus4')","F#,B,C#,F,G#"
"('F#', 'Majb5')","F#,A#,C"
"('F#', 'mb5')","F#,A,C"
"('F#', 'm-Maj11')","F#,A,C#,F,G#,B"
"('F#', 'm-Maj13')","F#,A,C#,F,G#,D#"
"('F#', 'm-Maj7')","F#,A,C#,F"
"('F#', 'm-Maj7add11')","F#,A,C#,F,B"
"('F#', 'm-Maj7add13')","F#,A,C#,F,D#"
"('F#', 'tri')","F#,A,C,D#"
"('F#', 'Majb7')","F#,A#,C#,D#"
"('F#', 'Min#5')","F#,A,D"
"('F#', 'Dom7')","F#,A#,C#,E"
"('F#', 'Dom7b5')","F#,A#,C,E"
"('F#', 'Dom7#5')","F#,A#,D,E"
"('F#', 'Dim7')","F#,A,C,D#"
"('F#', 'm#5')","F#,A,D"
"('F#', 'm#7#5')","F#,A,D,F"
"('F#', 'm7#5')","F#,A,D,F"
"('F#', 'Aug-06')","F#,A#,D,D#"
"('G', 'Major')","G,B,D"
"('G', 'Minor')","G,A#,D"
"('G', 'Aug')","G,B,D#"
"('G', 'Dim')","G,A#,C#"
"('G', 'Fifth')","G,D"
"('G', 'Fifth_9th')","G,D,A"
"('G', 'Fifth_Octave')","G,D,G"
"('G', 'Octave')","G,G"
"('G', 'Sus2')","G,A,D"
"('G', 'Sus4')","G,C,D"
"('G', '11')","G,B,D,F,A,C"
"('G', '11b9')","G,B,D,F,G#,C"
"('G', '13')","G,B,D,F,A,E"
"('G', '13#9')","G,B,D,F,A#,E"
"('G', '13b5b9')","G,B,C#,F,G#,E"
"('G', '13b9')","G,B,D,F,G#"
"('G', '6')","G,B,D,E"
"('G', '6add9')","G,B,D,E,A"
"('G', '6sus4')","G,C,D,E"
"('G', '7')","G,B,D,F"
"('G', '7#11')","G,B,D,F,C#"
"('G', '7#5')","G,B,D#,F"
"('G', '7#5#9')","G,B,D,F,A#"
"('G', '7#5b9')","G,B,D,F,G#"
"('G', '7#9')","G,B,D,F,A#"
"('G', '7add11')","G,B,D,F,C"
"('G', '7add13')","G,B,D,F,E"
"('G', '7b5')","G,B,C#,F"
"('G', '7b5b9')","G,B,C#,F,G#"
"('G', '7b9')","G,B,D,F,G#"
"('G', '7sus4')","G,C,D,F"
"('G', '9')","G,B,D,F,A"
"('G', '9#11')","G,B,D,F,A,C#"
"('G', '9#5')","G,B,D#,F,A"
"('G', '9b13')","G,B,D,F,A,E"
"('G', '9b5')","G,B,C#,F,A"
"('G', '9sus4')","G,C,D,F,A"
"('G', 'add9')","G,B,D,A"
"('G', 'augsus4')","G,C,D#"
"('G', 'm11')","G,A#,D,F,A,C"
"('G', 'm13')","G,A#,D,F,A,E"
"('G', 'm6')","G,A#,D,E"
"('G', 'm6add9')","G,A#,D,E,A"
"('G', 'm7')","G,A#,D,F"
"('G', 'm7add11')","G,A#,D,F,C"
"('G', 'm7add13')","G,A#,D,F,E"
"('G', 'm7b5')","G,A#,C#,F"
"('G', 'm7b9')","G,A#,D,F,G#"
"('G', 'm9')","G,A#,D,F,A"
"('G', 'm9b5')","G,A#,C#,F,A"
"('G', 'm9-Maj7')","G,A#,D,F#,A"
"('G', 'madd9')","G,A#,D,A"
"('G', 'Maj11')","G,B,D,F#,A,C"
"('G', 'Maj13')","G,B,D,F#,A,E"
"('G', 'Maj7')","G,B,D,F#"
"('G', 'Maj7#11')","G,B,D,F#,C#"
"('G', 'Maj7#5')","G,B,D#,F#"
"('G', 'Maj7add13')","G,B,D,F#,E"
"('G', 'Maj7b5')","G,B,C#,F"
"('G', 'Maj9')","G,B,D,F#,A"
"('G', 'Maj9#11')","G,B,D,F#,A,C#"
"('G', 'Maj9#5')","G,B,D#,F#,A"
"('G', 'Maj9sus4')","G,C,D,F#,A"
"('G', 'Majb5')","G,B,C#"
"('G', 'mb5')","G,A#,C#"
"('G', 'm-Maj11')","G,A#,D,F#,A,C"
"('G', 'm-Maj13')","G,A#,D,F#,A,E"
"('G', 'm-Maj7')","G,A#,D,F#"
"('G', 'm-Maj7add11')","G,A#,D,F#,C"
"('G', 'm-Maj7add13')","G,A#,D,F#,E"
"('G', 'tri')","G,A#,C#,E"
"('G', 'Majb7')","G,B,D,E"
"('G', 'Min#5')","G,A#,D#"
"('G', 'Dom7')","G,B,D,F"
"('G', 'Dom7b5')","G,B,C#,F"
"('G', 'Dom7#5')","G,B,D#,F"
"('G', 'Dim7')","G,A#,C#,E"
"('G', 'm#5')","G,A#,D#"
"('G', 'm#7#5')","G,A#,D#,F#"
"('G', 'm7#5')","G,A#,D#,F#"
"('G', 'Aug-06')","G,B,D#,E"
"('G#', 'Major')","G#,C,D#"
"('G#', 'Minor')","G#,B,D#"
"('G#', 'Aug')","G#,C,E"
"('G#', 'Dim')","G#,B,D"
"('G#', 'Fifth')","G#,D#"
"('G#', 'Fifth_9th')","G#,D#,A#"
"('G#', 'Fifth_Octave')","G#,D#,G#"
"('G#', 'Octave')","G#,G#"
"('G#', 'Sus2')","G#,A#,D#"
"('G#', 'Sus4')","G#,C#,D#"
"('G#', '11')","G#,C,D#,F#,A#,C#"
"('G#', '11b9')","G#,C,D#,F#,A,C#"
"('G#', '13')","G#,C,D#,F#,A#,F"
"('G#', '13#9')","G#,C,D#,F#,B,F"
"('G#', '13b5b9')","G#,C,D,F#,A,F"
"('G#', '13b9')","G#,C,D#,F#,A"
"('G#', '6')","G#,C,D#,F"
"('G#', '6add9')","G#,C,D#,F,A#"
"('G#', '6sus4')","G#,C#,D#,F"
"('G#', '7')","G#,C,D#,F#"
"('G#', '7#11')","G#,C,D#,F#,D"
"('G#', '7#5')","G#,C,E,F#"
"('G#', '7#5#9')","G#,C,D#,F#,B"
"('G#', '7#5b9')","G#,C,D#,F#,A"
"('G#', '7#9')","G#,C,D#,F#,B"
"('G#', '7add11')","G#,C,D#,F#,C#"
"('G#', '7add13')","G#,C,D#,F#,F"
"('G#', '7b5')","G#,C,D,F#"
"('G#', '7b5b9')","G#,C,D,F#,A"
"('G#', '7b9')","G#,C,D#,F#,A"
"('G#', '7sus4')","G#,C#,D#,F#"
"('G#', '9')","G#,C,D#,F#,A#"
"('G#', '9#11')","G#,C,D#,F#,A#,D"
"('G#', '9#5')","G#,C,E,F#,A#"
"('G#', '9b13')","G#,C,D#,F#,A#,F"
"('G#', '9b5')","G#,C,D,F#,A#"
"('G#', '9sus4')","G#,C#,D#,F#,A#"
"('G#', 'add9')","G#,C,D#,A#"
"('G#', 'augsus4')","G#,C#,E"
"('G#', 'm11')","G#,B,D#,F#,A#,C#"
"('G#', 'm13')","G#,B,D#,F#,A#,F"
"('G#', 'm6')","G#,B,D#,F"
"('G#', 'm6add9')","G#,B,D#,F,A#"
"('G#', 'm7')","G#,B,D#,F#"
"('G#', 'm7add11')","G#,B,D#,F#,C#"
"('G#', 'm7add13')","G#,B,D#,F#,F"
"('G#', 'm7b5')","G#,B,D,F#"
"('G#', 'm7b9')","G#,B,D#,F#,A"
"('G#', 'm9')","G#,B,D#,F#,A#"
"('G#', 'm9b5')","G#,B,D,F#,A#"
"('G#', 'm9-Maj7')","G#,B,D#,G,A#"
"('G#', 'madd9')","G#,B,D#,A#"
"('G#', 'Maj11')","G#,C,D#,G,A#,C#"
"('G#', 'Maj13')","G#,C,D#,G,A#,F"
"('G#', 'Maj7')","G#,C,D#,G"
"('G#', 'Maj7#11')","G#,C,D#,G,D"
"('G#', 'Maj7#5')","G#,C,E,G"
"('G#', 'Maj7add13')","G#,C,D#,G,F"
"('G#', 'Maj7b5')","G#,C,D,F#"
"('G#', 'Maj9')","G#,C,D#,G,A#"
"('G#', 'Maj9#11')","G#,C,D#,G,A#,D"
"('G#', 'Maj9#5')","G#,C,E,G,A#"
"('G#', 'Maj9sus4')","G#,C#,D#,G,A#"
"('G#', 'Majb5')","G#,C,D"
"('G#', 'mb5')","G#,B,D"
"('G#', 'm-Maj11')","G#,B,D#,G,A#,C#"
"('G#', 'm-Maj13')","G#,B,D#,G,A#,F"
"('G#', 'm-Maj7')","G#,B,D#,G"
"('G#', 'm-Maj7add11')","G#,B,D#,G,C#"
"('G#', 'm-Maj7add13')","G#,B,D#,G,F"
"('G#', 'tri')","G#,B,D,F"
"('G#', 'Majb7')","G#,C,D#,F"
"('G#', 'Min#5')","G#,B,E"
"('G#', 'Dom7')","G#,C,D#,F#"
"('G#', 'Dom7b5')","G#,C,D,F#"
"('G#', 'Dom7#5')","G#,C,E,F#"
"('G#', 'Dim7')","G#,B,D,F"
"('G#', 'm#5')","G#,B,E"
"('G#', 'm#7#5')","G#,B,E,G"
"('G#', 'm7#5')","G#,B,E,G"
"('G#', 'Aug-06')","G#,C,E,F"
