indexNoteChord,ChordNotes
"('A#', 'Maj7#11')","A#,D,F,A,E"
"('A#', 'Maj7#5')","A#,D,F#,A"
"('A#', 'Maj7add13')","A#,D,F,A,G"
"('A#', 'Maj7b5')","A#,D,E,G#"
"('A#', 'Maj9')","A#,D,F,A,C"
"('A#', 'Maj9#11')","A#,D,F,A,C,E"
"('A#', 'Maj9#5')","A#,D,F#,A,C"
"('A#', 'Maj9sus4')","A#,D#,F,A,C"
"('A#', 'Majb5')","A#,D,E"
"('A#', 'mb5')","A#,C#,E"
"('A#', 'm-Maj11')","A#,C#,F,A,C,D#"
"('A#', 'm-Maj13')","A#,C#,F,A,C,G"
"('A#', 'm-Maj7')","A#,C#,F,A"
"('A#', 'm-Maj7add11')","A#,C#,F,A,D#"
"('A#', 'm-Maj7add13')","A#,C#,F,A,G"
"('A#', 'tri')","A#,C#,E,G"
"('A#', 'Majb7')","A#,D,F,G"
"('A#', 'Min#5')","A#,C#,F#"
"('A#', 'Dom7')","A#,D,F,G#"
"('A#', 'Dom7b5')","A#,D,E,G#"
"('A#', 'Dom7#5')","A#,D,F#,G#"
"('A#', 'Dim7')","A#,C#,E,G"
"('A#', 'm#5')","A#,C#,F#"
"('A#', 'm#7#5')","A#,C#,F#,A"
"('A#', 'm7#5')","A#,C#,F#,A"
"('A#', 'Aug-06')","A#,D,F#,G"
"('B', 'Major')","B,D#,F#"
"('B', 'Minor')","B,D,F#"
"('B', 'Aug')","B,D#,G"
"('B', 'Dim')","B,D,F"
"('B', 'Fifth')","B,F#"
"('B', 'Fifth_9th')","B,F#,C#"
"('B', 'Fifth_Octave')","B,F#,B"
"('B', 'Octave')","B,B"
"('B', 'Sus2')","B,C#,F#"
"('B', 'Sus4')","B,E,F#"
"('B', '11')","B,D#,F#,A,C#,E"
"('B', '11b9')","B,D#,F#,A,C,E"
"('B', '13')","B,D#,F#,A,C#,G#"
"('B', '13#9')","B,D#,F#,A,D,G#"
"('B', '13b5b9')","B,D#,F,A,C,G#"
"('B', '13b9')","B,D#,F#,A,C"
"('B', '6')","B,D#,F#,G#"
"('B', '6add9')","B,D#,F#,G#,C#"
"('B', '6sus4')","B,E,F#,G#"
"('B', '7')","B,D#,F#,A"
"('B', '7#11')","B,D#,F#,A,F"
"('B', '7#5')","B,D#,G,A"
"('B', '7#5#9')","B,D#,F#,A,D"
"('B', '7#5b9')","B,D#,F#,A,C"
"('B', '7#9')","B,D#,F#,A,D"
"('B', '7add11')","B,D#,F#,A,E"
"('B', '7add13')","B,D#,F#,A,G#"
"('B', '7b5')","B,D#,F,A"
"('B', '7b5b9')","B,D#,F,A,C"
"('B', '7b9')","B,D#,F#,A,C"
"('B', '7sus4')","B,E,F#,A"
"('B', '9')","B,D#,F#,A,C#"
"('B', '9#11')","B,D#,F#,A,C#,F"
"('B', '9#5')","B,D#,G,A,C#"
"('B', '9b13')","B,D#,F#,A,C#,G#"
"('B', '9b5')","B,D#,F,A,C#"
"('B', '9sus4')","B,E,F#,A,C#"
"('B', 'add9')","B,D#,F#,C#"
"('B', 'augsus4')","B,E,G"
"('B', 'm11')","B,D,F#,A,C#,E"
"('B', 'm13')","B,D,F#,A,C#,G#"
"('B', 'm6')","B,D,F#,G#"
"('B', 'm6add9')","B,D,F#,G#,C#"
"('B', 'm7')","B,D,F#,A"
"('B', 'm7add11')","B,D,F#,A,E"
"('B', 'm7add13')","B,D,F#,A,G#"
"('B', 'm7b5')","B,D,F,A"
"('B', 'm7b9')","B,D,F#,A,C"
"('B', 'm9')","B,D,F#,A,C#"
"('B', 'm9b5')","B,D,F,A,C#"
"('B', 'm9-Maj7')","B,D,F#,A#,C#"
"('B', 'madd9')","B,D,F#,C#"
"('B', 'Maj11')","B,D#,F#,A#,C#,E"
"('B', 'Maj13')","B,D#,F#,A#,C#,G#"
"('B', 'Maj7')","B,D#,F#,A#"
"('B', 'Maj7#11')","B,D#,F#,A#,F"
"('B', 'Maj7#5')","B,D#,G,A#"
"('B', 'Maj7add13')","B,D#,F#,A#,G#"
"('B', 'Maj7b5')","B,D#,F,A"
"('B', 'Maj9')","B,D#,F#,A#,C#"
"('B', 'Maj9#11')","B,D#,F#,A#,C#,F"
"('B', 'Maj9#5')","B,D#,G,A#,C#"
"('B', 'Maj9sus4')","B,E,F#,A#,C#"
"('B', 'Majb5')","B,D#,F"
"('B', 'mb5')","B,D,F"
"('B', 'm-Maj11')","B,D,F#,A#,C#,E"
"('B', 'm-Maj13')","B,D,F#,A#,C#,G#"
"('B', 'm-Maj7')","B,D,F#,A#"
"('B', 'm-Maj7add11')","B,D,F#,A#,E"
"('B', 'm-Maj7add13')","B,D,F#,A#,G#"
"('B', 'tri')","B,D,F,G#"
"('B', 'Majb7')","B,D#,F#,G#"
"('B', 'Min#5')","B,D,G"
"('B', 'Dom7')","B,D#,F#,A"
"('B', 'Dom7b5')","B,D#,F,A"
"('B', 'Dom7#5')","B,D#,G,A"
"('B', 'Dim7')","B,D,F,G#"
"('B', 'm#5')","B,D,G"
"('B', 'm#7#5')","B,D,G,A#"
"('B', 'm7#5')","B,D,G,A#"
"('B', 'Aug-06')","B,D#,G,G#"
"('C', 'Major')","C,E,G"
"('C', 'Minor')","C,D#,G"
"('C', 'Aug')","C,E,G#"
"('C', 'Dim')","C,D#,F#"
"('C', 'Fifth')","C,G"
"('C', 'Fifth_9th')","C,G,D"
"('C', 'Fifth_Octave')","C,G,C"
"('C', 'Octave')","C,C"
"('C', 'Sus2')","C,D,G"
"('C', 'Sus4')","C,F,G"
"('C', '11')","C,E,G,A#,D,F"
"('C', '11b9')","C,E,G,A#,C#,F"
"('C', '13')","C,E,G,A#,D,A"
"('C', '13#9')","C,E,G,A#,D#,A"
"('C', '13b5b9')","C,E,F#,A#,C#,A"
"('C', '13b9')","C,E,G,A#,C#"
"('C', '6')","C,E,G,A"
"('C', '6add9')","C,E,G,A,D"
"('C', '6sus4')","C,F,G,A"
"('C', '7')","C,E,G,A#"
"('C', '7#11')","C,E,G,A#,F#"
"('C', '7#5')","C,E,G#,A#"
"('C', '7#5#9')","C,E,G,A#,D#"
"('C', '7#5b9')","C,E,G,A#,C#"
"('C', '7#9')","C,E,G,A#,D#"
"('C', '7add11')","C,E,G,A#,F"
