Type,Formula
Major,"0,2,4,5,7,9,11,12"
Natural_Minor,"0,2,3,5,7,8,10,12"
Harmonic_Minor,"0,2,3,5,7,8,11,12"
Melodic_Minor,"0,2,3,5,7,9,11,12"
Dorianb2,"0,1,3,5,7,9,11,12"
Phryging_Dominant,"0,1,4,5,7,8,11,12"
Lydian_Minor,"0,2,4,6,7,8,10,12"
Mixolydian_Augmented,"0,2,4,5,8,9,10,12"
Locrian_Dominant,"0,2,4,5,6,8,10,12"
